"Date","count","covid_case","covid_trend"
2010-02-22,2573,0,0
2010-02-23,2624,0,0
2010-02-24,2488,0,0
2010-02-25,2315,0,0
2010-02-26,2477,0,0
2010-02-27,1380,0,0
2010-02-28,1147,0,0
2010-03-01,1020,0,0
2010-03-02,2766,0,0
2010-03-03,2681,0,0
2010-03-04,2730,0,0
2010-03-05,2691,0,0
2010-03-06,1428,0,0
2010-03-07,1113,0,0
2010-03-08,2868,0,0
2010-03-09,2753,0,0
2010-03-10,2522,0,0
2010-03-11,2524,0,0
2010-03-12,2809,0,0
2010-03-13,1356,0,0
2010-03-14,1177,0,0
2010-03-15,2642,0,0
2010-03-16,2783,0,0
2010-03-17,2828,0,0
2010-03-18,2638,0,0
2010-03-19,2755,0,0
2010-03-20,1456,0,0
2010-03-21,1157,0,0
2010-03-22,2782,0,0
2010-03-23,2780,0,0
2010-03-24,2724,0,0
2010-03-25,2661,0,0
2010-03-26,2737,0,0
2010-03-27,1386,0,0
2010-03-28,1199,0,0
2010-03-29,2757,0,0
2010-03-30,2694,0,0
2010-03-31,2545,0,0
2010-04-01,2595,0,0
2010-04-02,2772,0,0
2010-04-03,1476,0,0
2010-04-04,1136,0,0
2010-04-05,2728,0,0
2010-04-06,2698,0,0
2010-04-07,2808,0,0
2010-04-08,2555,0,0
2010-04-09,2628,0,0
2010-04-10,1349,0,0
2010-04-11,1225,0,0
2010-04-12,2681,0,0
2010-04-13,2788,0,0
2010-04-14,2748,0,0
2010-04-15,2595,0,0
2010-04-16,2723,0,0
2010-04-17,1470,0,0
2010-04-18,1241,0,0
2010-04-19,2725,0,0
2010-04-20,2734,0,0
2010-04-21,2769,0,0
2010-04-22,2602,0,0
2010-04-23,2681,0,0
2010-04-24,1282,0,0
2010-04-25,1228,0,0
2010-04-26,2708,0,0
2010-04-27,2661,0,0
2010-04-28,2757,0,0
2010-04-29,2623,0,0
2010-04-30,2719,0,0
2010-05-01,1331,0,0
2010-05-02,1253,0,0
2010-05-03,2832,0,0
2010-05-04,2801,0,0
2010-05-05,1225,0,0
2010-05-06,2539,0,0
2010-05-07,2762,0,0
2010-05-08,1252,0,0
2010-05-09,1261,0,0
2010-05-10,2835,0,0
2010-05-11,2857,0,0
2010-05-12,2751,0,0
2010-05-13,2558,0,0
2010-05-14,2687,0,0
2010-05-15,1464,0,0
2010-05-16,1159,0,0
